Prompt,Response,
Who hosted the daily show before trevor noah?,"Jon Stewart
",
Who was the founder of chick fil a?,"S. Truett Cathy founded Chick-fil-A.
",
What is the biggest province or territory in canada?,"Nunavut is the largest province or territory in Canada.
",
When did england declare war on germany 1939?,"The United Kingdom declared war on Germany on September 3, 1939.
",
Who is the author of the book charlotte s web?,"E.B. White is the author of *Charlotte's Web*.
",
Where did deshaun watson play high school football?,"Deshaun Watson played high school football at **Gainesville High School** in Gainesville, Georgia.
",
Who is the present prime minister of australia?,"The current Prime Minister of Australia is Anthony Albanese.
",
Who was the painter of this famous painting bharatmata?,"The famous painting *Bharat Mata* was painted by **Abanindranath Tagore**.
",
When was the center for disease control created?,"The Centers for Disease Control and Prevention (CDC) was founded on July 1, 1946.  It was originally called the Communicable Disease Center.
",
What movie did angelina jolie won an oscar for?,"Angelina Jolie won her Oscar for Best Supporting Actress in the 1999 film *Girl, Interrupted*.
",
How many states are in the mega million lottery?,"The Mega Millions lottery is played in 45 states plus the District of Columbia and the U.S. Virgin Islands.
",
When did pokhran ii nuclear tests take place?,"The Pokhran-II nuclear tests took place in **May 1998**, specifically on the 11th and 13th of May.
",
To what group of organic compounds does hemoglobin belong?,"Hemoglobin belongs to the group of organic compounds called **proteins**.  More specifically, it's a **metalloprotein** due to the presence of iron in its heme groups.
",
What is the most popular city in new zealand?,"Auckland is the most populous city in New Zealand.  While not a city in the official sense, it's often referred to as such and is by far the largest urban area.
",
What is the s i unit of current?,"The SI unit of current is the **ampere (A)**.
",
When was saudi arabia admitted to united nations?,"Saudi Arabia was admitted to the United Nations on **October 24, 1945**, as one of the original 51 member states.
",
Who is the first astronaut landed on the moon?,"Neil Armstrong was the first astronaut to walk on the moon.
",
What animal is big pete from mickey mouse?,"Big Pete is a **cat**.  He's often portrayed as a bully or antagonist to Mickey and his friends.
",
Is the juan de fuca plate oceanic or continental?,"The Juan de Fuca plate is an **oceanic** plate.
",
When did north carolina officially become a state?,"North Carolina officially became a state on **November 21, 1789**, when it ratified the US Constitution.  It was the 12th state to join the Union.
",
