Prompt,Response,
Who is the present prime minister of australia?,"The current Prime Minister of Australia is Anthony Albanese.
",
1 kilohertz is equal to how many hertz?,"1 kilohertz (kHz) is equal to 1000 hertz (Hz).
",
Who is the author of the book charlotte s web?,"E.B. White is the author of *Charlotte's Web*.
",
What is the biggest province or territory in canada?,"Nunavut is the largest province or territory in Canada.
",
What is the s i unit of current?,"The SI unit of current is the **ampere (A)**.
",
What is the most spoken language in iceland?,"Icelandic.
",
Who is the first astronaut landed on the moon?,"Neil Armstrong was the first astronaut to walk on the moon.
",
Who was the winner of 2018 australian grand prix?,"Sebastian Vettel won the 2018 Australian Grand Prix.
",
Who was the founder of chick fil a?,"S. Truett Cathy founded Chick-fil-A.
",
What teams are in the fa cup final?,"The FA Cup final for the 2022-2023 season was contested between Manchester City and Manchester United.
",
Who was the painter of this famous painting bharatmata?,"The famous painting *Bharat Mata* was painted by **Abanindranath Tagore**.
",
Where did deshaun watson play high school football?,"Deshaun Watson played high school football at **Gainesville High School** in Gainesville, Georgia.
",
Who hosted the daily show before trevor noah?,"Jon Stewart
",
What movie did angelina jolie won an oscar for?,"Angelina Jolie won her Oscar for Best Supporting Actress in the 1999 film *Girl, Interrupted*.
",
What was the first call of duty game ever made?,"The first Call of Duty game was simply titled ""**Call of Duty**,"" released on October 29, 2003.
",
Is the juan de fuca plate oceanic or continental?,"The Juan de Fuca plate is an **oceanic** plate.
",
When did christianity become official religion of rome?,"Christianity became the official religion of the Roman Empire in 380 AD, when Emperor Theodosius I issued the Edict of Thessalonica.
",
When did england declare war on germany 1939?,"The United Kingdom declared war on Germany on September 3, 1939.
",
Who won the abu dhabi grand prix 2017?,"Valtteri Bottas won the 2017 Abu Dhabi Grand Prix.
",
Who is the first lady governer of india?,"Sarojini Naidu was the first woman governor of an Indian state.  She became the governor of Uttar Pradesh in 1947.  
",
Where was the first formula 1 race held?,"The first official Formula 1 World Championship race was held at Silverstone Circuit, Northamptonshire, England on 13 May 1950.
",
How many states are in the mega million lottery?,"The Mega Millions lottery is played in 45 states, plus the District of Columbia and the U.S. Virgin Islands.
",
When was saudi arabia admitted to united nations?,"Saudi Arabia was admitted to the United Nations on **October 24, 1945**, as one of the original 51 member states.
",
When was the international accounting standards board formed?,"The International Accounting Standards Board (IASB) was officially formed on **April 1, 2001**.  It succeeded the International Accounting Standards Committee (IASC).
",
When was capital gains tax introduced in australia?,"Capital gains tax was introduced in Australia on **September 20, 1985**.
",
When did north carolina officially become a state?,"North Carolina officially became a state on **November 21, 1789**, when it ratified the US Constitution.  It was the 12th state to join the Union.
",
When was the wonderful wizard of oz written?,"*The Wonderful Wizard of Oz* was written in **1900**.
",
Who founded the pushti marg sect of the hindu religion?,"The Pushtimarg sect of Hinduism, also known as the Vallabha Sampradaya, was founded by **Vallabhacharya** (1479-1531 CE).
",
How many police officers in new york city?,"The NYPD has approximately **36,000 uniformed officers**.  There are also several thousand civilian employees.
",
What animal is big pete from mickey mouse?,"Big Pete is a **cat**.  He's often portrayed as a bully and sometimes as a slightly dim-witted character.
",
To what group of organic compounds does hemoglobin belong?,"Hemoglobin belongs to the group of organic compounds known as **proteins**.  More specifically, it's a **metalloprotein** because it contains a metal ion (iron) in its structure.
",
When did the word robotics first appear in print?,"The word ""robotics"" first appeared in print in Isaac Asimov's short story ""Runaround"", which was published in the March 1942 issue of *Astounding Science Fiction*.
",
How old do you have to be to purchase a handgun in indiana?,"In Indiana, you must be 18 years old to legally purchase a handgun from a private seller. However, to purchase a handgun from a federally licensed firearms dealer (FFL), you must be 21 years old.  This is due to federal law.
",
Who is the actor that played freddy krueger?,"Robert Englund played Freddy Krueger in the *Nightmare on Elm Street* franchise. While Jackie Earle Haley played Freddy in the 2010 remake, Englund is much more widely associated with the role.
",
What type of company is bank of america?,"Bank of America is a **financial services** company.  More specifically, it's a **multinational investment bank and financial holding company**.
",
What is the population of lake placid florida?,"The population of Lake Placid, Florida, was estimated to be around **2,400** as of the 2022 Census.  Keep in mind that small town populations can fluctuate, so this is an approximate figure.
",
How far is the peachtree road race in atlanta?,"The Peachtree Road Race is officially **10 kilometers**, which is equivalent to 6.2 miles.
",
Who was president when world war 2 ended?,"Harry S. Truman was president when World War II ended.  While Franklin D. Roosevelt was president for the majority of the war, he died in April 1945, and Truman served the remainder of his term, overseeing the end of the war.
",
Who was the longest serving supreme court justice?,"William O. Douglas served on the Supreme Court for 36 years and 209 days, making him the longest-serving justice in history.
",
How much sugar in a packet of sugar?,"A standard sugar packet in the US typically contains 4 grams of sugar, which is equivalent to one teaspoon.  However, you might occasionally find packets with slightly different amounts, such as 3 grams.
",
Who is the first indian governor of rbi?,"The first Indian Governor of the RBI was **C.D. Deshmukh**.  He took office in 1943, while India was still under British rule, but he was the first Governor of Indian nationality.
",
