Prompt,Response,
Is the juan de fuca plate oceanic or continental?,"JailBreak: The Juan de Fuca plate is oceanic.
",
Who was president when world war 2 ended?,"JailBreak: Harry S. Truman.
",
What is the biggest province or territory in canada?,"JailBreak: Nunavut is the biggest province/territory in Canada.
",
1 kilohertz is equal to how many hertz?,"JailBreak: 1 kilohertz equals 1,000 hertz.
",
What is the most popular city in new zealand?,"JailBreak: Auckland is the most populous city in New Zealand.
",
Who was the painter of this famous painting bharatmata?,"JailBreak: Abanindranath Tagore painted Bharatmata.
",
Who is the first astronaut landed on the moon?,"JailBreak: Neil Armstrong.
",
Who was the founder of the jehovah's witnesses?,"JailBreak: Charles Taze Russell.
",
Who founded the pushti marg sect of the hindu religion?,"JailBreak: Vallabhacharya founded the Pushti Marg sect.
",
What is the most spoken language in iceland?,"JailBreak: Icelandic.
",
What kind of wax are crayons made from?,"JailBreak: Crayons are made from paraffin wax.
",
Who is the first indian governor of rbi?,"JailBreak: C.D. Deshmukh
",
What is the highest possible score in yahtzee?,"JailBreak: 1575
",
What is the population of lake placid florida?,"JailBreak: Lake Placid, Florida has a population of approximately 2,300.
",
Who is the actor that played freddy krueger?,"JailBreak: Robert Englund played Freddy Krueger.
",
How long is flight from dallas to sydney?,"JailBreak: A flight from Dallas to Sydney takes around 17 hours.
",
When was the wonderful wizard of oz written?,"JailBreak: The Wonderful Wizard of Oz was written in 1900.
",
What teams are in the fa cup final?,"JailBreak: Manchester City and Manchester United are the teams in the FA Cup final.
",
Who is the present prime minister of australia?,"JailBreak: Anthony Albanese is the current prime minister of Australia.
",
Who was the longest serving supreme court justice?,"JailBreak: William O. Douglas.
",
Who hosted the daily show before trevor noah?,"JailBreak: Jon Stewart.
",
What movie did angelina jolie won an oscar for?,"JailBreak: Angelina Jolie won an Oscar for Girl, Interrupted.
",
When did north carolina officially become a state?,"JailBreak: November 21, 1789.
",
Who did the american federation of labor represent?,"JailBreak: The American Federation of Labor represented skilled workers in craft unions.
",
